caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-01-02 07:17:49,2012-01-02 07:17:49,Start
Case1,Turning & Milling,2012-01-02 07:50:15,2012-01-02 14:21:08,ID4794
Case1,Turning & Milling,2012-01-02 18:45:42,2012-01-02 21:12:06,ID4932
Case1,Turning & Milling,2012-01-03 16:59:22,2012-01-03 23:20:19,ID4718
Case1,Turning & Milling,2012-01-04 12:27:12,2012-01-04 18:58:31,ID4932
Case1,Turning & Milling,2012-01-04 18:59:16,2012-01-04 21:56:21,ID4529
Case1,Turning & Milling Q.C.,2012-01-04 18:58:31,2012-01-04 19:00:09,ID4163
Case1,Turning & Milling,2012-01-04 21:57:30,2012-01-05 01:48:28,ID0997
Case1,Turning & Milling,2012-01-05 02:41:01,2012-01-05 07:49:03,ID4167
Case1,Turning & Milling,2012-01-05 10:28:24,2012-01-05 13:48:28,ID4932
Case1,Turning & Milling,2012-01-05 13:48:28,2012-01-06 02:23:08,ID4794
Case1,Turning & Milling Q.C.,2012-01-06 02:35:53,2012-01-06 03:14:27,ID4163
Case1,Turning & Milling Q.C.,2012-01-06 03:02:45,2012-01-06 03:10:27,ID4287
Case1,Turning & Milling Q.C.,2012-01-06 05:32:59,2012-01-06 05:46:21,ID4618
Case1,Turning & Milling,2012-01-06 23:59:17,2012-01-07 09:13:24,ID3846
Case1,Turning & Milling,2012-01-06 05:55:54,2012-01-06 10:40:25,ID4219
Case1,Turning & Milling,2012-01-06 18:52:29,2012-01-07 00:25:59,ID4529
Case1,Turning & Milling Q.C.,2012-01-06 05:54:51,2012-01-06 06:47:30,ID4618
Case1,Turning & Milling Q.C.,2012-01-07 01:14:42,2012-01-07 01:43:20,ID4493
Case1,Turning & Milling,2012-01-07 02:08:25,2012-01-07 09:19:21,ID4794
Case1,Turning & Milling,2012-01-07 09:33:14,2012-01-07 17:38:25,ID4529
Case1,Turning & Milling,2012-01-08 01:37:52,2012-01-08 09:02:22,ID4132
Case1,Turning & Milling Q.C.,2012-01-07 17:44:40,2012-01-07 20:40:26,ID4618
Case1,Turning Q.C.,2012-01-07 18:01:49,2012-01-07 20:03:50,ID4287
Case1,Turning & Milling,2012-01-08 09:35:34,2012-01-08 12:43:50,ID4794
Case1,Turning & Milling,2012-01-08 12:43:50,2012-01-08 15:39:39,ID0937
Case1,Turning & Milling Q.C.,2012-01-08 12:56:40,2012-01-08 13:34:49,ID4287
Case1,Turning & Milling,2012-01-08 16:46:30,2012-01-08 20:24:33,ID4641
Case1,Turning & Milling,2012-01-09 03:25:39,2012-01-09 10:14:15,ID3846
Case1,Turning & Milling Q.C.,2012-01-08 20:57:19,2012-01-08 22:02:51,ID4287
Case1,Turning & Milling,2012-01-09 10:15:17,2012-01-09 10:36:31,ID4355
Case1,Turning & Milling,2012-01-09 16:32:59,2012-01-09 17:50:15,ID4429
Case1,Turning & Milling,2012-01-09 19:21:36,2012-01-10 01:01:27,ID4429
Case1,Turning & Milling,2012-01-10 01:57:45,2012-01-10 05:21:08,ID4429
Case1,Turning & Milling Q.C.,2012-01-10 06:54:42,2012-01-10 08:13:47,ID4618
Case1,Laser Marking,2012-01-10 08:40:19,2012-01-10 08:59:39,ID4718
Case1,Turning & Milling Q.C.,2012-01-10 09:00:41,2012-01-10 12:16:37,ID4618
Case1,Turning & Milling Q.C.,2012-01-10 12:26:58,2012-01-10 13:04:46,ID4493
Case1,Turning Rework,2012-01-12 17:09:48,2012-01-12 18:19:22,ID4291
Case1,Laser Marking,2012-01-12 19:25:57,2012-01-12 21:42:16,ID4718
Case1,Turning & Milling Q.C.,2012-01-12 21:42:16,2012-01-12 23:03:01,ID0420
Case1,Turning & Milling Q.C.,2012-01-14 16:54:27,2012-01-14 18:33:47,ID4287
Case1,Round Grinding,2012-01-14 18:35:20,2012-01-14 19:31:03,ID4445
Case1,Round Grinding,2012-01-15 09:54:03,2012-01-15 10:19:47,ID4872
Case1,Turning & Milling Q.C.,2012-01-15 10:31:35,2012-01-15 11:55:15,ID4287
Case1,Lapping,2012-01-15 11:55:16,2012-01-15 12:47:20,ID0998
Case1,Laser Marking,2012-01-15 13:59:02,2012-01-15 14:41:51,ID4882
Case1,Turning & Milling,2012-01-15 18:07:46,2012-01-15 20:25:58,ID4219
Case1,Lapping,2012-01-16 23:51:24,2012-01-17 01:16:41,ID4882
Case1,Lapping,2012-01-20 15:10:42,2012-01-20 16:32:56,ID4882
Case1,Round Grinding,2012-01-24 09:53:14,2012-01-24 12:52:41,ID4528
Case1,Round Grinding,2012-01-24 16:16:10,2012-01-25 04:56:01,ID4445
Case1,Final Inspection Q.C.,2012-01-27 09:43:24,2012-01-27 10:32:20,ID0937
Case1,Round Grinding,2012-01-25 04:57:17,2012-01-25 15:03:26,ID0420
Case1,Round Grinding,2012-01-27 13:31:46,2012-01-27 13:58:15,ID4385
Case1,Round Grinding,2012-01-27 22:43:53,2012-01-28 01:27:50,ID4355
Case1,Round Grinding,2012-01-28 02:23:01,2012-01-28 04:41:39,ID4385
Case1,Final Inspection Q.C.,2012-01-28 05:06:44,2012-01-28 06:10:29,ID4287
Case1,Round Grinding,2012-01-28 04:58:17,2012-01-28 05:02:16,ID4287
Case1,Round Grinding,2012-01-28 07:33:58,2012-01-28 12:06:35,ID0420
Case1,Round Grinding,2012-01-28 12:06:35,2012-01-28 15:06:31,ID4385
Case1,Final Inspection Q.C.,2012-02-01 01:01:09,2012-02-01 01:39:13,ID4287
Case1,Lapping,2012-01-29 14:11:15,2012-01-29 17:42:57,ID4528
Case1,Laser Marking,2012-01-30 17:49:37,2012-01-30 18:21:29,ID4882
Case1,Packing,2012-02-02 18:54:27,2012-02-02 19:45:07,ID4820
Case1,Final Inspection Q.C.,2012-02-02 19:53:58,2012-02-02 19:54:15,ID4618
Case1,Final Inspection Q.C.,2012-02-11 23:47:06,2012-02-12 02:33:10,ID4287
Case1,Final Inspection Q.C.,2012-02-12 21:10:19,2012-02-12 22:05:08,ID4493
Case1,Lapping,2012-02-13 02:35:47,2012-02-13 03:39:34,ID4872
Case1,Lapping,2012-02-12 04:46:38,2012-02-12 06:37:27,ID4528
Case1,Final Inspection Q.C.,2012-02-12 09:20:38,2012-02-12 11:27:23,ID4163
Case1,Round Grinding,2012-02-12 02:33:10,2012-02-12 07:47:03,ID4528
Case1,Lapping,2012-02-12 07:48:52,2012-02-12 09:02:11,ID0998
Case1,Round Grinding,2012-02-13 07:07:10,2012-02-13 11:02:54,ID4872
Case1,Final Inspection Q.C.,2012-02-14 22:52:47,2012-02-14 22:57:18,ID4618
Case1,Lapping,2012-02-14 22:59:53,2012-02-15 03:45:57,ID4872
Case1,Final Inspection Q.C.,2012-02-15 03:52:07,2012-02-15 05:18:32,ID4163
Case1,Round Grinding,2012-02-15 10:43:23,2012-02-15 13:08:45,ID4355
Case1,Round Grinding,2012-02-15 13:11:51,2012-02-15 15:43:49,ID0998
