caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2012-03-13 01:25:36,2012-03-13 01:25:36,Start
Case1,Turning,2012-03-13 01:26:17,2012-03-13 02:37:18,ID3846
Case1,Turning,2012-03-13 05:39:50,2012-03-13 06:43:27,ID4219
Case1,Final Inspection Q.C.,2012-03-13 06:56:55,2012-03-13 07:27:13,ID4287
Case1,Packing,2012-03-13 09:13:05,2012-03-13 10:38:12,ID4820
Case1,Final Inspection Q.C.,2012-03-14 02:24:02,2012-03-14 06:11:19,ID4493
Case1,End,2012-03-14 06:11:19,2012-03-14 06:11:19,End
Case2,Start,2012-03-13 02:30:16,2012-03-13 02:30:16,Start
Case2,Round Grinding,2012-03-14 02:19:39,2012-03-14 04:57:01,ID4355
Case2,Round Grinding,2012-03-13 06:25:41,2012-03-13 15:31:00,ID4528
Case2,Final Inspection Q.C.,2012-03-19 17:38:36,2012-03-19 19:05:05,ID4287
Case2,Final Inspection Q.C.,2012-03-19 21:15:14,2012-03-19 22:35:13,ID4287
Case2,Packing,2012-03-20 03:26:37,2012-03-20 04:27:52,ID4820
Case2,End,2012-03-20 04:27:52,2012-03-20 04:27:52,End
Case3,Start,2012-03-13 03:12:07,2012-03-13 03:12:07,Start
Case3,Turning,2012-03-13 03:13:13,2012-03-13 06:04:09,ID3846
Case3,Turning,2012-03-13 07:32:01,2012-03-13 07:57:52,ID0997
Case3,Turning & Milling,2012-03-13 08:41:49,2012-03-13 09:43:37,ID4219
Case3,Turning & Milling,2012-03-13 09:45:44,2012-03-13 21:51:56,ID4718
Case3,Turning & Milling,2012-03-13 10:07:42,2012-03-13 12:39:06,ID3846
Case3,Turning & Milling,2012-03-14 00:40:27,2012-03-14 04:56:50,ID4132
Case3,Laser Marking,2012-03-14 13:50:49,2012-03-14 13:51:41,ID4882
Case3,Lapping,2012-03-19 23:54:46,2012-03-20 07:54:13,ID0998
Case3,Round Grinding,2012-03-20 10:01:47,2012-03-20 10:02:36,ID4528
