caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 00:33:18,2011-01-01 00:33:18,Start
Case1,Create Purchase Requisition,2011-01-01 00:33:18,2011-01-01 01:08:40,Nico_Ojenbeer
Case1,Create Request for Quotation,2011-01-01 01:14:41,2011-01-01 01:16:40,Heinz_Gutschmidt
Case1,Analyze Request for Quotation,2011-01-02 02:57:05,2011-01-02 03:06:31,Karel_de_Groot
Case1,Send Request for Quotation to Supplier,2011-01-02 07:30:08,2011-01-02 07:44:04,Karel_de_Groot
Case1,Create Quotation comparison Map,2011-01-02 13:12:38,2011-01-02 20:30:02,Karel_de_Groot
Case1,Analyze Quotation Comparison Map,2011-01-03 03:36:43,2011-01-03 03:54:36,Anne_Olwada
Case1,Choose best option,2011-01-03 03:54:36,2011-01-03 03:54:36,Clement_Duchot
Case1,Settle Conditions With Supplier,2011-01-03 10:53:07,2011-01-03 16:43:57,Karel_de_Groot
Case1,Create Purchase Order,2011-01-04 00:48:47,2011-01-04 00:56:34,Magdalena_Predutta
Case1,Confirm Purchase Order,2011-01-05 17:56:19,2011-01-05 18:25:26,Carmen_Finacse
Case1,Deliver Goods Services,2011-01-06 03:36:24,2011-01-06 07:35:57,Karen_Clarens
Case1,Release Purchase Order,2011-01-06 14:10:46,2011-01-06 14:11:50,Alberto_Duport
Case1,Approve Purchase Order for payment,2011-01-07 08:00:14,2011-01-07 08:01:15,Francois_de_Perrier
Case1,Send Invoice,2011-01-08 00:55:11,2011-01-08 00:55:11,Esmeralda_Clay
Case1,Release Supplier's Invoice,2011-01-08 14:58:23,2011-01-08 15:01:16,Karalda_Nimwada
Case1,Authorize Supplier's Invoice payment,2011-01-08 15:01:16,2011-01-08 15:01:16,Karalda_Nimwada
Case1,Pay Invoice,2011-01-08 15:45:01,2011-01-08 15:50:41,Karalda_Nimwada
Case1,End,2011-01-08 15:50:41,2011-01-08 15:50:41,End
Case2,Start,2011-01-01 01:25:42,2011-01-01 01:25:42,Start
Case2,Create Purchase Requisition,2011-01-01 01:25:42,2011-01-01 02:08:56,Nico_Ojenbeer
Case2,Analyze Purchase Requisition,2011-01-01 17:22:38,2011-01-01 17:30:31,Heinz_Gutschmidt
Case2,Create Request for Quotation,2011-01-01 17:35:30,2011-01-01 17:37:27,Heinz_Gutschmidt
Case2,Analyze Request for Quotation,2011-01-01 19:57:12,2011-01-01 20:08:22,Magdalena_Predutta
Case2,Send Request for Quotation to Supplier,2011-01-02 06:08:48,2011-01-02 06:25:16,Francois_de_Perrier
Case2,Create Quotation comparison Map,2011-01-02 15:51:42,2011-01-02 22:02:23,Karel_de_Groot
Case2,Analyze Quotation Comparison Map,2011-01-03 05:19:18,2011-01-03 05:35:43,Clement_Duchot
Case2,Choose best option,2011-01-03 05:35:43,2011-01-03 05:35:43,Immanuel_Karagianni
Case2,Settle Conditions With Supplier,2011-01-03 08:12:05,2011-01-03 13:53:38,Karel_de_Groot
Case2,Create Purchase Order,2011-01-03 17:12:04,2011-01-03 17:22:33,Karel_de_Groot
