caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-06-05 23:15:09,2011-06-05 23:15:09,Start
Case1,Create Purchase Requisition,2011-06-05 23:15:09,2011-06-05 23:54:22,Anna_Kaufmann
Case1,Analyze Purchase Requisition,2011-06-06 13:01:01,2011-06-06 13:09:12,Francis_Odell
Case1,Create Request for Quotation,2011-06-06 14:22:03,2011-06-06 14:35:14,Esmana_Liubiata
Case1,Analyze Request for Quotation,2011-06-06 15:40:00,2011-06-06 16:05:04,Magdalena_Predutta
Case1,Amend Request for Quotation,2011-06-06 16:47:20,2011-06-06 16:55:32,Penn_Osterwalder
Case1,Analyze Request for Quotation,2011-06-30 06:12:08,2011-06-30 06:45:00,Francois_de_Perrier
Case1,Send Request for Quotation to Supplier,2011-07-02 06:59:20,2011-07-02 07:25:37,Magdalena_Predutta
Case1,Create Quotation comparison Map,2011-07-02 09:51:00,2011-07-02 12:40:35,Karel_de_Groot
Case1,Analyze Quotation Comparison Map,2011-07-02 17:45:11,2011-07-02 18:15:19,Esmana_Liubiata
Case1,Choose best option,2011-07-02 18:15:19,2011-07-02 18:15:19,Tesca_Lobes
Case1,Settle Conditions With Supplier,2011-07-02 21:41:04,2011-07-03 04:54:06,Magdalena_Predutta
Case1,Create Purchase Order,2011-07-04 03:03:26,2011-07-04 03:14:21,Karel_de_Groot
Case1,Confirm Purchase Order,2011-07-04 11:20:28,2011-07-04 11:41:54,Sean_Manney
Case1,Deliver Goods Services,2011-07-05 14:06:43,2011-07-05 21:24:52,Karen_Clarens
Case1,Release Purchase Order,2011-07-06 04:50:40,2011-07-06 04:51:36,Elvira_Lores
Case1,Settle Dispute With Supplier,2011-07-06 16:18:17,2011-07-07 02:04:00,Francois_de_Perrier
Case1,Release Purchase Order,2011-07-07 09:15:21,2011-07-07 09:16:18,Kim_Passa
Case1,Approve Purchase Order for payment,2011-07-07 13:42:48,2011-07-07 13:43:48,Karel_de_Groot
Case1,Send Invoice,2011-07-08 16:21:18,2011-07-08 16:21:18,Sean_Manney
Case1,Release Supplier's Invoice,2011-07-09 05:38:09,2011-07-09 05:41:19,Pedro_Alvares
Case1,Authorize Supplier's Invoice payment,2011-07-09 05:44:36,2011-07-09 05:44:36,Karalda_Nimwada
Case1,Pay Invoice,2011-07-09 06:37:52,2011-07-09 06:44:11,Karalda_Nimwada
Case1,End,2011-07-09 06:44:11,2011-07-09 06:44:11,End
Case2,Start,2011-06-06 00:05:34,2011-06-06 00:05:34,Start
Case2,Create Purchase Requisition,2011-06-06 00:05:34,2011-06-06 01:06:34,Anna_Kaufmann
Case2,Analyze Purchase Requisition,2011-06-06 09:41:03,2011-06-06 09:50:38,Maris_Freeman
Case2,End,2011-06-06 09:50:38,2011-06-06 09:50:38,End
Case3,Start,2011-06-06 02:49:36,2011-06-06 02:49:36,Start
Case3,Create Purchase Requisition,2011-06-06 02:49:36,2011-06-06 03:07:20,Tesca_Lobes
Case3,Analyze Purchase Requisition,2011-06-07 00:21:07,2011-06-07 00:31:32,Maris_Freeman
Case3,End,2011-06-07 00:31:32,2011-06-07 00:31:32,End
Case4,Start,2011-06-06 03:53:57,2011-06-06 03:53:57,Start
Case4,Create Purchase Requisition,2011-06-06 03:53:57,2011-06-06 04:23:32,Esmana_Liubiata
Case4,Create Request for Quotation,2011-06-06 05:18:06,2011-06-06 05:32:38,Anne_Olwada
Case4,Analyze Request for Quotation,2011-06-07 06:36:49,2011-06-07 07:03:59,Magdalena_Predutta
Case4,Send Request for Quotation to Supplier,2011-06-07 22:54:31,2011-06-07 23:19:50,Francois_de_Perrier
