caseid,task,user,end_timestamp,start_timestamp
100101,Start,Start,2016-3-13 0:59:55,2016-3-13 0:59:55
100101,Traer informacion estudiante - banner,7071,2016-3-13 0:59:55,2016-3-13 0:59:55
100101,Radicar Solicitud Homologacion,7071,2016-3-13 1:00:02,2016-3-13 1:00:02
100101,Validar solicitud,22475,2016-3-13 1:19:56,2016-3-13 1:19:49
100101,Homologacion por grupo de cursos,22478,2016-3-14 15:15:32,2016-3-14 15:07:40
100101,Revisar curso,22475,2016-3-14 15:07:40,2016-3-14 15:07:40
100101,Evaluacion curso,22478,2016-3-14 15:15:55,2016-3-14 15:08:04
100101,End,End,2016-3-14 15:15:55,2016-3-14 15:15:55
100953,Start,Start,2016-3-14 18:04:43,2016-3-14 18:04:43
100953,Traer informacion estudiante - banner,7736,2016-3-14 18:04:43,2016-3-14 18:04:43
100953,Radicar Solicitud Homologacion,7736,2016-3-14 18:05:06,2016-3-14 18:04:46
100953,Cancelar Solicitud,7736,2016-3-14 18:26:03,2016-3-14 18:25:47
100953,Notificacion estudiante cancelacion soli,7736,2016-3-14 18:42:07,2016-3-14 18:42:07
100953,End,End,2016-3-14 18:42:07,2016-3-14 18:42:07
101002,Start,Start,2016-3-14 20:49:01,2016-3-14 20:49:01
101002,Traer informacion estudiante - banner,15862,2016-3-14 20:49:01,2016-3-14 20:49:01
101002,Radicar Solicitud Homologacion,15862,2016-3-14 20:49:35,2016-3-14 20:49:02
101002,Cancelar Solicitud,6400,2016-3-14 23:21:22,2016-3-14 21:33:52
101002,Notificacion estudiante cancelacion soli,6400,2016-4-8 16:04:50,2016-4-8 16:04:50
101002,End,End,2016-4-8 16:04:50,2016-4-8 16:04:50
101102,Start,Start,2016-3-14 23:44:54,2016-3-14 23:44:54
101102,Traer informacion estudiante - banner,5275,2016-3-14 23:44:54,2016-3-14 23:44:54
101102,Radicar Solicitud Homologacion,5275,2016-3-14 23:45:12,2016-3-14 23:44:55
101102,Cancelar Solicitud,19019,2016-3-15 0:17:19,2016-3-15 0:02:02
101102,Notificacion estudiante cancelacion soli,19019,2016-3-16 23:19:51,2016-3-16 23:19:51
101102,End,End,2016-3-16 23:19:51,2016-3-16 23:19:51
101103,Start,Start,2016-3-14 23:47:34,2016-3-14 23:47:34
101103,Traer informacion estudiante - banner,9427,2016-3-14 23:47:34,2016-3-14 23:47:34
101103,Radicar Solicitud Homologacion,9427,2016-3-14 23:48:10,2016-3-14 23:47:35
101103,Cancelar Solicitud,677,2016-3-15 0:39:55,2016-3-15 0:23:19
101103,Notificacion estudiante cancelacion soli,677,2016-3-17 1:34:13,2016-3-17 1:34:13
101103,End,End,2016-3-17 1:34:13,2016-3-17 1:34:13
101203,Start,Start,2016-3-14 23:34:08,2016-3-14 23:34:08
101203,Traer informacion estudiante - banner,8955,2016-3-14 23:34:08,2016-3-14 23:34:08
101203,Radicar Solicitud Homologacion,8955,2016-3-14 23:34:20,2016-3-14 23:34:08
101203,Cancelar Solicitud,241,2016-3-15 0:24:43,2016-3-14 23:46:40
101203,Notificacion estudiante cancelacion soli,241,2016-3-28 22:50:36,2016-3-28 22:50:36
101203,End,End,2016-3-28 22:50:36,2016-3-28 22:50:36
101204,Start,Start,2016-3-14 23:50:50,2016-3-14 23:50:50
101204,Traer informacion estudiante - banner,9437,2016-3-14 23:50:50,2016-3-14 23:50:50
101204,Radicar Solicitud Homologacion,9437,2016-3-14 23:50:59,2016-3-14 23:50:51
101204,Cancelar Solicitud,241,2016-3-15 0:37:41,2016-3-14 23:59:50
101204,Notificacion estudiante cancelacion soli,241,2016-3-28 22:51:32,2016-3-28 22:51:32
101204,End,End,2016-3-28 22:51:32,2016-3-28 22:51:32
101205,Start,Start,2016-3-15 0:10:27,2016-3-15 0:10:27
101205,Traer informacion estudiante - banner,7573,2016-3-15 0:10:27,2016-3-15 0:10:27
101205,Radicar Solicitud Homologacion,7573,2016-3-15 0:11:17,2016-3-15 0:10:28
101205,Cancelar Solicitud,241,2016-3-15 13:57:22,2016-3-15 13:20:24
101205,Notificacion estudiante cancelacion soli,241,2016-3-28 22:58:53,2016-3-28 22:58:53
101205,End,End,2016-3-28 22:58:53,2016-3-28 22:58:53
101353,Start,Start,2016-3-15 3:01:34,2016-3-15 3:01:34
101353,Traer informacion estudiante - banner,11775,2016-3-15 3:01:34,2016-3-15 3:01:34
101353,Radicar Solicitud Homologacion,11775,2016-3-15 3:01:35,2016-3-15 3:01:35
101353,Notificacion estudiante cancelacion soli,1,2016-3-31 0:24:16,2016-3-31 0:24:16
101353,End,End,2016-3-31 0:24:16,2016-3-31 0:24:16
101451,Start,Start,2016-3-15 10:22:47,2016-3-15 10:22:47
101451,Traer informacion estudiante - banner,7573,2016-3-15 10:22:47,2016-3-15 10:22:47
101451,Radicar Solicitud Homologacion,7573,2016-3-15 10:22:51,2016-3-15 10:22:51
101451,Cancelar Solicitud,241,2016-3-15 14:00:24,2016-3-15 13:21:31
101451,Notificacion estudiante cancelacion soli,241,2016-3-29 0:53:43,2016-3-29 0:53:43
101451,End,End,2016-3-29 0:53:43,2016-3-29 0:53:43
101551,Start,Start,2016-3-15 12:48:34,2016-3-15 12:48:34
101551,Traer informacion estudiante - banner,7492,2016-3-15 12:48:34,2016-3-15 12:48:34
101551,Radicar Solicitud Homologacion,7492,2016-3-15 12:48:39,2016-3-15 12:48:39
101551,Validar solicitud,19019,2016-3-15 13:14:04,2016-3-15 12:59:43
101551,Homologacion por grupo de cursos,19019,2016-3-16 23:21:44,2016-3-16 23:21:44
101551,Validar solicitud / pre-homologacion,19019,2016-3-16 23:21:45,2016-3-16 23:21:45
101551,End,End,2016-3-16 23:21:45,2016-3-16 23:21:45
101801,Start,Start,2016-3-15 22:09:17,2016-3-15 22:09:17
101801,Traer informacion estudiante - banner,9335,2016-3-15 22:09:17,2016-3-15 22:09:17
101801,Radicar Solicitud Homologacion,9335,2016-3-15 22:09:48,2016-3-15 22:09:25
101801,Cancelar Solicitud,9335,2016-3-16 3:44:58,2016-3-15 22:33:19
101801,Validar solicitud,920,2016-3-15 22:35:45,2016-3-15 22:33:19
101801,Notificacion estudiante cancelacion soli,9335,2016-5-17 23:12:19,2016-5-17 23:12:19
101801,End,End,2016-5-17 23:12:19,2016-5-17 23:12:19
101803,Start,Start,2016-3-15 22:37:51,2016-3-15 22:37:51
101803,Traer informacion estudiante - banner,8824,2016-3-15 22:37:51,2016-3-15 22:37:51
101803,Radicar Solicitud Homologacion,8824,2016-3-15 22:37:54,2016-3-15 22:37:52
101803,Validar solicitud,677,2016-3-15 22:50:41,2016-3-15 22:40:22
101803,Homologacion por grupo de cursos,3445,2016-3-17 1:59:31,2016-3-17 1:39:31
101803,Revisar curso,677,2016-3-17 1:39:32,2016-3-17 1:39:32
101803,Evaluacion curso,6995,2016-3-17 1:40:52,2016-3-17 1:40:52
101803,Validacion final,677,2016-3-17 14:05:43,2016-3-17 13:45:43
101803,Visto Bueno Cierre Proceso,3445,2016-3-28 21:14:06,2016-3-28 21:14:06
101803,End,End,2016-3-28 21:14:06,2016-3-28 21:14:06
101852,Start,Start,2016-3-16 1:09:56,2016-3-16 1:09:56
101852,Traer informacion estudiante - banner,8824,2016-3-16 1:09:56,2016-3-16 1:09:56
101852,Radicar Solicitud Homologacion,8824,2016-3-16 1:09:57,2016-3-16 1:09:57
101852,Cancelar Solicitud,677,2016-3-16 1:20:18,2016-3-16 1:12:18
101852,Notificacion estudiante cancelacion soli,677,2016-3-17 1:43:35,2016-3-17 1:43:35
101852,End,End,2016-3-17 1:43:35,2016-3-17 1:43:35
101853,Start,Start,2016-3-16 1:12:44,2016-3-16 1:12:44
101853,Traer informacion estudiante - banner,8824,2016-3-16 1:12:44,2016-3-16 1:12:44
101853,Radicar Solicitud Homologacion,8824,2016-3-16 1:12:45,2016-3-16 1:12:45
101853,Cancelar Solicitud,677,2016-3-16 1:22:36,2016-3-16 1:14:36
101853,Notificacion estudiante cancelacion soli,677,2016-3-17 1:48:40,2016-3-17 1:48:40
101853,End,End,2016-3-17 1:48:40,2016-3-17 1:48:40
101854,Start,Start,2016-3-16 1:50:38,2016-3-16 1:50:38
101854,Traer informacion estudiante - banner,8824,2016-3-16 1:50:38,2016-3-16 1:50:38
101854,Radicar Solicitud Homologacion,8824,2016-3-16 1:50:39,2016-3-16 1:50:39
101854,Cancelar Solicitud,677,2016-3-16 2:05:45,2016-3-16 1:57:45
101854,Notificacion estudiante cancelacion soli,677,2016-3-17 1:52:58,2016-3-17 1:52:58
101854,End,End,2016-3-17 1:52:58,2016-3-17 1:52:58
