caseid,task,user,end_timestamp,start_timestamp
Case1,Start,Start,2012-1-30 6:24:00,2012-1-30 6:24:00
Case1,Turning & Milling,ID4932,2012-1-30 12:43:00,2012-1-30 6:24:00
Case1,Turning & Milling,ID4932,2012-1-30 13:42:00,2012-1-30 12:44:00
Case1,Turning & Milling,ID4167,2012-1-30 14:21:00,2012-1-30 13:59:00
Case1,Turning & Milling,ID4167,2012-1-30 17:58:00,2012-1-30 14:21:00
Case1,Turning & Milling Q.C.,ID4163,2012-1-31 21:50:00,2012-1-31 20:20:00
Case1,Laser Marking,ID0998,2012-2-1 15:27:00,2012-2-1 15:18:00
Case1,Lapping,ID4882,2012-2-14 8:15:00,2012-2-14 7:00:00
Case1,Lapping,ID4882,2012-2-14 16:38:00,2012-2-14 16:05:00
Case1,Round Grinding,ID4445,2012-2-14 20:37:00,2012-2-14 16:13:00
Case1,Round Grinding,ID4445,2012-2-14 22:27:00,2012-2-14 20:37:00
Case1,Final Inspection Q.C.,ID4493,2012-2-16 14:59:00,2012-2-16 13:59:00
Case1,Final Inspection Q.C.,ID4493,2012-2-16 20:58:00,2012-2-16 19:11:00
Case1,Final Inspection Q.C.,ID4493,2012-2-16 20:58:00,2012-2-16 19:43:00
Case1,Packing,ID4820,2012-2-17 8:00:00,2012-2-17 7:00:00
Case1,End,End,2012-2-17 8:00:00,2012-2-17 8:00:00
Case10,Start,Start,2012-1-17 14:01:00,2012-1-17 14:01:00
Case10,Turning & Milling,ID3846,2012-1-17 18:05:00,2012-1-17 14:01:00
Case10,Turning Q.C.,ID4618,2012-1-17 18:15:00,2012-1-17 18:00:00
Case10,Turning & Milling,ID4132,2012-1-18 3:01:00,2012-1-18 2:24:00
Case10,Turning & Milling,ID4132,2012-1-18 6:43:00,2012-1-18 3:01:00
Case10,Turning & Milling,ID4794,2012-1-18 13:32:00,2012-1-18 6:49:00
Case10,Turning & Milling,ID3846,2012-1-18 14:24:00,2012-1-18 13:59:00
Case10,Turning & Milling,ID4132,2012-1-19 0:55:00,2012-1-18 23:33:00
Case10,Turning & Milling,ID4132,2012-1-19 3:04:00,2012-1-19 0:57:00
Case10,Turning & Milling,ID4794,2012-1-19 13:29:00,2012-1-19 3:10:00
Case10,Turning & Milling,ID4132,2012-1-20 1:09:00,2012-1-19 23:12:00
Case10,Turning & Milling,ID4132,2012-1-20 3:08:00,2012-1-20 1:10:00
Case10,Turning & Milling,ID4794,2012-1-20 12:10:00,2012-1-20 3:09:00
Case10,Turning & Milling,ID4641,2012-1-22 13:34:00,2012-1-22 9:42:00
Case10,Turning & Milling,ID3846,2012-1-22 14:13:00,2012-1-22 14:00:00
Case10,Turning & Milling,ID3846,2012-1-23 0:47:00,2012-1-22 16:02:00
Case10,Turning Q.C.,ID4618,2012-1-23 17:26:00,2012-1-23 14:54:00
Case10,Laser Marking,ID4794,2012-1-25 17:57:00,2012-1-25 16:31:00
Case10,Laser Marking,ID4882,2012-1-25 19:54:00,2012-1-25 18:00:00
Case10,Laser Marking,ID4882,2012-1-25 21:09:00,2012-1-25 20:22:00
Case10,Flat Grinding,ID0998,2012-1-27 20:00:00,2012-1-27 17:30:00
Case10,Flat Grinding,ID0998,2012-1-29 22:06:00,2012-1-29 15:09:00
Case10,Flat Grinding,ID0998,2012-1-30 23:59:00,2012-1-30 22:19:00
Case10,Final Inspection Q.C.,ID4618,2012-2-2 21:16:00,2012-2-2 19:38:00
Case10,Packing,ID4820,2012-2-3 8:00:00,2012-2-3 7:00:00
Case10,End,End,2012-2-3 8:00:00,2012-2-3 8:00:00
Case101,Start,Start,2012-3-14 1:47:00,2012-3-14 1:47:00
Case101,Setup,ID4219,2012-3-14 3:03:00,2012-3-14 1:47:00
Case101,Turning & Milling,ID4219,2012-3-14 6:03:00,2012-3-14 3:38:00
Case101,Turning & Milling,ID4219,2012-3-14 6:49:00,2012-3-14 6:04:00
Case101,Turning & Milling,ID4219,2012-3-14 8:06:00,2012-3-14 6:50:00
Case101,Turning & Milling,ID4794,2012-3-14 13:28:00,2012-3-14 8:06:00
Case101,Turning & Milling,ID0997,2012-3-14 14:48:00,2012-3-14 14:02:00
Case101,Turning & Milling,ID0997,2012-3-14 18:10:00,2012-3-14 14:49:00
Case101,Turning & Milling,ID0997,2012-3-14 20:30:00,2012-3-14 18:11:00
Case101,Turning & Milling Q.C.,ID4618,2012-3-14 21:48:00,2012-3-14 20:33:00
Case101,Flat Grinding,ID0998,2012-3-15 17:55:00,2012-3-15 16:55:00
Case101,Lapping,ID0998,2012-3-23 19:40:00,2012-3-23 18:00:00
Case101,Round Grinding,ID4528,2012-3-25 7:45:00,2012-3-25 6:15:00
Case101,Round Grinding,ID4528,2012-3-25 14:45:00,2012-3-25 7:45:00
Case101,Final Inspection Q.C.,ID4618,2012-3-25 19:31:00,2012-3-25 14:50:00
Case101,Lapping,ID0998,2012-3-25 19:00:00,2012-3-25 18:00:00
Case101,Laser Marking,ID0998,2012-3-25 19:29:00,2012-3-25 19:15:00
Case101,Packing,ID4820,2012-3-26 9:00:00,2012-3-26 8:00:00
Case101,End,End,2012-3-26 9:00:00,2012-3-26 9:00:00
Case102,Start,Start,2012-2-27 23:40:00,2012-2-27 23:40:00
Case102,Turning & Milling,ID4219,2012-2-28 4:09:00,2012-2-27 23:40:00
Case102,Turning & Milling,ID4219,2012-2-28 8:23:00,2012-2-28 4:46:00
Case102,Turning & Milling,ID0997,2012-2-28 20:26:00,2012-2-28 18:00:00
Case102,Turning & Milling,ID0997,2012-2-28 23:12:00,2012-2-28 21:20:00
Case102,Turning & Milling Q.C.,ID4287,2012-2-28 22:25:00,2012-2-28 21:35:00
Case102,Turning & Milling,ID0997,2012-2-29 0:56:00,2012-2-28 23:12:00
Case102,Turning & Milling,ID4219,2012-2-29 8:29:00,2012-2-29 4:28:00
Case102,Turning & Milling,ID4794,2012-2-29 11:31:00,2012-2-29 8:30:00
Case102,Turning & Milling,ID0997,2012-2-29 18:05:00,2012-2-29 14:32:00
Case102,Turning & Milling,ID0997,2012-2-29 23:00:00,2012-2-29 18:05:00
Case102,Turning & Milling Q.C.,ID4287,2012-2-29 23:00:00,2012-2-29 22:00:00
Case102,Turning & Milling,ID0997,2012-3-1 0:20:00,2012-2-29 23:00:00
Case102,Turning & Milling Q.C.,ID4287,2012-2-29 23:36:00,2012-2-29 23:04:00
Case102,Turning & Milling,ID0997,2012-3-1 0:20:00,2012-3-1 0:19:00
Case102,Turning & Milling,ID4219,2012-3-1 7:11:00,2012-3-1 5:27:00
Case102,Turning & Milling Q.C.,ID4287,2012-3-1 17:49:00,2012-3-1 16:30:00
Case102,Turning & Milling Q.C.,ID4287,2012-3-6 8:15:00,2012-3-6 7:00:00
Case102,Laser Marking,ID0998,2012-3-8 21:41:00,2012-3-8 20:32:00
