caseid,task,user,end_timestamp,start_timestamp
10,Start,Start,2011-1-2 2:52:00,2011-1-2 2:52:00
10,Create Purchase Requisition,Esmana Liubiata,2011-1-2 3:43:00,2011-1-2 2:52:00
10,Create Request for Quotation,Immanuel Karagianni,2011-1-2 10:32:00,2011-1-2 10:25:00
10,Analyze Request for Quotation,Francois de Perrier,2011-1-2 15:59:00,2011-1-2 15:32:00
10,Send Request for Quotation to Supplier,Karel de Groot,2011-1-3 13:07:00,2011-1-3 12:50:00
10,Create Quotation comparison Map,Karel de Groot,2011-1-3 14:28:00,2011-1-3 13:31:00
10,Analyze Quotation Comparison Map,Anna Kaufmann,2011-1-3 22:05:00,2011-1-3 21:44:00
10,Choose best option,Nico Ojenbeer,2011-1-3 22:05:00,2011-1-3 22:05:00
10,Settle Conditions With Supplier,Karel de Groot,2011-1-4 4:31:00,2011-1-3 23:53:00
10,Create Purchase Order,Karel de Groot,2011-1-4 9:52:00,2011-1-4 9:44:00
10,Confirm Purchase Order,Carmen Finacse,2011-1-5 2:58:00,2011-1-5 2:49:00
10,Deliver Goods Services,Kiu Kan,2011-1-7 1:19:00,2011-1-5 11:48:00
10,Release Purchase Order,Tesca Lobes,2011-1-7 8:55:00,2011-1-7 8:54:00
10,Approve Purchase Order for payment,Karel de Groot,2011-1-9 2:56:00,2011-1-9 2:55:00
10,Send Invoice,Karen Clarens,2011-1-10 0:23:00,2011-1-10 0:23:00
10,Release Supplier's Invoice,Karalda Nimwada,2011-1-10 14:48:00,2011-1-10 14:45:00
10,Settle Dispute With Supplier,Karalda Nimwada,2011-1-10 15:34:00,2011-1-10 15:09:00
10,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-1-10 15:43:00,2011-1-10 15:43:00
10,Pay Invoice,Pedro Alvares,2011-1-10 16:16:00,2011-1-10 16:03:00
10,End,End,2011-1-10 16:16:00,2011-1-10 16:16:00
1004,Start,Start,2011-5-26 19:39:00,2011-5-26 19:39:00
1004,Create Purchase Requisition,Tesca Lobes,2011-5-26 19:56:00,2011-5-26 19:39:00
1004,Analyze Purchase Requisition,Heinz Gutschmidt,2011-5-27 13:44:00,2011-5-27 13:35:00
1004,Create Request for Quotation,Heinz Gutschmidt,2011-5-27 13:51:00,2011-5-27 13:50:00
1004,Analyze Request for Quotation,Francois de Perrier,2011-5-31 23:18:00,2011-5-31 22:43:00
1004,End,End,2011-5-31 23:18:00,2011-5-31 23:18:00
1011,Start,Start,2011-5-28 12:20:00,2011-5-28 12:20:00
1011,Create Purchase Requisition,Fjodor Kowalski,2011-5-28 12:59:00,2011-5-28 12:20:00
1011,Create Request for Quotation,Miu Hanwan,2011-5-28 19:04:00,2011-5-28 18:51:00
1011,Analyze Request for Quotation,Francois de Perrier,2011-5-29 23:35:00,2011-5-29 23:21:00
1011,Amend Request for Quotation,Miu Hanwan,2011-5-30 0:31:00,2011-5-30 0:24:00
1011,Analyze Request for Quotation,Karel de Groot,2011-6-1 13:16:00,2011-6-1 12:57:00
1011,Amend Request for Quotation,Fjodor Kowalski,2011-6-1 14:02:00,2011-6-1 13:57:00
1011,Analyze Request for Quotation,Magdalena Predutta,2011-6-18 16:56:00,2011-6-18 16:31:00
1011,Amend Request for Quotation,Christian Francois,2011-6-18 17:58:00,2011-6-18 17:49:00
1011,Analyze Request for Quotation,Francois de Perrier,2011-6-21 20:08:00,2011-6-21 19:40:00
1011,Amend Request for Quotation,Esmana Liubiata,2011-6-21 21:05:00,2011-6-21 20:56:00
1011,Analyze Request for Quotation,Francois de Perrier,2011-7-9 0:05:00,2011-7-8 23:54:00
1011,Amend Request for Quotation,Clement Duchot,2011-7-9 1:06:00,2011-7-9 0:58:00
1011,Analyze Request for Quotation,Magdalena Predutta,2011-8-18 18:10:00,2011-8-18 17:46:00
1011,Amend Request for Quotation,Nico Ojenbeer,2011-8-18 19:06:00,2011-8-18 19:00:00
1011,Analyze Request for Quotation,Francois de Perrier,2011-8-22 8:52:00,2011-8-22 8:21:00
1011,Send Request for Quotation to Supplier,Francois de Perrier,2011-8-22 16:15:00,2011-8-22 15:46:00
1011,Create Quotation comparison Map,Magdalena Predutta,2011-8-22 21:06:00,2011-8-22 16:55:00
1011,Analyze Quotation Comparison Map,Immanuel Karagianni,2011-8-23 4:08:00,2011-8-23 3:55:00
1011,Choose best option,Christian Francois,2011-8-23 4:08:00,2011-8-23 4:08:00
1011,Settle Conditions With Supplier,Karel de Groot,2011-8-23 23:25:00,2011-8-23 8:52:00
1011,Create Purchase Order,Magdalena Predutta,2011-8-24 1:32:00,2011-8-24 1:25:00
1011,Confirm Purchase Order,Carmen Finacse,2011-8-27 6:00:00,2011-8-27 5:53:00
1011,Deliver Goods Services,Kiu Kan,2011-8-29 18:00:00,2011-8-27 19:34:00
1011,Release Purchase Order,Tesca Lobes,2011-8-30 1:28:00,2011-8-30 1:27:00
1011,Approve Purchase Order for payment,Magdalena Predutta,2011-9-1 1:10:00,2011-9-1 1:09:00
1011,Send Invoice,Sean Manney,2011-9-3 5:14:00,2011-9-3 5:14:00
1011,Release Supplier's Invoice,Pedro Alvares,2011-9-3 19:38:00,2011-9-3 19:35:00
1011,Authorize Supplier's Invoice payment,Pedro Alvares,2011-9-3 19:38:00,2011-9-3 19:38:00
1011,Pay Invoice,Karalda Nimwada,2011-9-3 20:13:00,2011-9-3 20:04:00
1011,End,End,2011-9-3 20:13:00,2011-9-3 20:13:00
1015,Start,Start,2011-5-28 19:50:00,2011-5-28 19:50:00
1015,Create Purchase Requisition,Alberto Duport,2011-5-28 20:05:00,2011-5-28 19:50:00
1015,Analyze Purchase Requisition,Heinz Gutschmidt,2011-5-29 19:38:00,2011-5-29 19:34:00
1015,End,End,2011-5-29 19:38:00,2011-5-29 19:38:00
1020,Start,Start,2011-5-29 0:56:00,2011-5-29 0:56:00
