caseid,task,user,end_timestamp,start_timestamp
1,Start,Start,2010-12-31 23:59:59.999999,2010-12-31 23:59:59.999999
1,Create Purchase Requisition,Kim Passa,2011-01-01 00:37:00.000000,2011-01-01 00:00:00.000000
1,Create Request for Quotation,Kim Passa,2011-01-01 05:45:00.000000,2011-01-01 05:37:00.000000
1,Analyze Request for Quotation,Karel de Groot,2011-01-01 06:55:00.000000,2011-01-01 06:41:00.000000
1,Send Request for Quotation to Supplier,Karel de Groot,2011-01-01 12:09:00.000000,2011-01-01 11:43:00.000000
1,Create Quotation comparison Map,Magdalena Predutta,2011-01-01 16:03:00.000000,2011-01-01 12:32:00.000000
1,Analyze Quotation Comparison Map,Immanuel Karagianni,2011-01-01 23:13:00.000000,2011-01-01 22:44:00.000000
1,Choose best option,Tesca Lobes,2011-01-01 23:13:00.000000,2011-01-01 23:13:00.000000
1,Settle Conditions With Supplier,Francois de Perrier,2011-01-02 09:20:00.000000,2011-01-02 01:22:00.000000
1,Create Purchase Order,Karel de Groot,2011-01-02 10:10:00.000000,2011-01-02 09:58:00.000000
1,Confirm Purchase Order,Sean Manney,2011-01-02 14:43:00.000000,2011-01-02 14:09:00.000000
1,Deliver Goods Services,Sean Manney,2011-01-03 03:37:00.000000,2011-01-02 20:49:00.000000
1,Release Purchase Order,Elvira Lores,2011-01-03 11:21:00.000000,2011-01-03 11:20:00.000000
1,Approve Purchase Order for payment,Karel de Groot,2011-01-03 19:10:00.000000,2011-01-03 19:09:00.000000
1,Send Invoice,Kiu Kan,2011-01-04 00:54:00.000000,2011-01-04 00:54:00.000000
1,Release Supplier's Invoice,Karalda Nimwada,2011-01-04 15:13:00.000000,2011-01-04 15:08:00.000000
1,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-01-04 15:13:00.000000,2011-01-04 15:13:00.000000
1,Pay Invoice,Pedro Alvares,2011-01-04 15:31:00.000000,2011-01-04 15:22:00.000000
1,End,End,2011-01-04 15:31:00.000001,2011-01-04 15:31:00.000001
10,Start,Start,2011-01-02 02:51:59.999999,2011-01-02 02:51:59.999999
10,Create Purchase Requisition,Esmana Liubiata,2011-01-02 03:43:00.000000,2011-01-02 02:52:00.000000
10,Create Request for Quotation,Immanuel Karagianni,2011-01-02 10:32:00.000000,2011-01-02 10:25:00.000000
10,Analyze Request for Quotation,Francois de Perrier,2011-01-02 15:59:00.000000,2011-01-02 15:32:00.000000
10,Send Request for Quotation to Supplier,Karel de Groot,2011-01-03 13:07:00.000000,2011-01-03 12:50:00.000000
10,Create Quotation comparison Map,Karel de Groot,2011-01-03 14:28:00.000000,2011-01-03 13:31:00.000000
10,Analyze Quotation Comparison Map,Anna Kaufmann,2011-01-03 22:05:00.000000,2011-01-03 21:44:00.000000
10,Choose best option,Nico Ojenbeer,2011-01-03 22:05:00.000000,2011-01-03 22:05:00.000000
10,Settle Conditions With Supplier,Karel de Groot,2011-01-04 04:31:00.000000,2011-01-03 23:53:00.000000
10,Create Purchase Order,Karel de Groot,2011-01-04 09:52:00.000000,2011-01-04 09:44:00.000000
10,Confirm Purchase Order,Carmen Finacse,2011-01-05 02:58:00.000000,2011-01-05 02:49:00.000000
10,Deliver Goods Services,Kiu Kan,2011-01-07 01:19:00.000000,2011-01-05 11:48:00.000000
10,Release Purchase Order,Tesca Lobes,2011-01-07 08:55:00.000000,2011-01-07 08:54:00.000000
10,Approve Purchase Order for payment,Karel de Groot,2011-01-09 02:56:00.000000,2011-01-09 02:55:00.000000
