caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2016-02-02 14:00:48,2016-02-02 14:00:48,Start
Case1,Traer informacion estudiante - banner,2016-02-02 14:00:48,2016-02-02 14:00:48,18289
Case1,Radicar Solicitud Homologacion,2016-02-02 14:00:49,2016-02-02 14:00:49,18289
Case1,Validar solicitud,2016-02-03 15:55:54,2016-02-03 15:55:58,241
Case1,Homologacion por grupo de cursos,2016-02-03 16:55:50,2016-02-03 17:10:44,2541
Case1,End,2016-02-03 17:10:44,2016-02-03 17:10:44,End
Case2,Start,2016-02-03 03:49:53,2016-02-03 03:49:53,Start
Case2,Traer informacion estudiante - banner,2016-02-03 03:49:53,2016-02-03 03:49:53,11302
Case2,Radicar Solicitud Homologacion,2016-02-03 03:49:54,2016-02-03 03:49:54,11302
Case2,Validar solicitud,2016-03-09 11:35:28,2016-03-09 11:50:07,22475
Case2,Homologacion por grupo de cursos,2016-03-18 05:39:18,2016-03-18 12:31:06,22475
Case2,End,2016-03-18 12:31:06,2016-03-18 12:31:06,End
Case3,Start,2016-02-11 02:59:17,2016-02-11 02:59:17,Start
Case3,Traer informacion estudiante - banner,2016-02-11 02:59:17,2016-02-11 02:59:17,9336
Case3,Radicar Solicitud Homologacion,2016-02-11 02:59:18,2016-02-11 02:59:54,9336
Case3,Validar solicitud,2016-02-11 05:39:16,2016-02-11 05:39:22,669
Case3,Homologacion por grupo de cursos,2016-02-25 21:43:27,2016-02-25 21:43:27,15930
Case3,End,2016-02-25 21:43:27,2016-02-25 21:43:27,End
Case4,Start,2016-02-11 04:17:05,2016-02-11 04:17:05,Start
Case4,Traer informacion estudiante - banner,2016-02-11 04:17:05,2016-02-11 04:17:05,7775
Case4,Radicar Solicitud Homologacion,2016-02-11 04:17:11,2016-02-11 04:17:11,7775
Case4,Notificacion estudiante cancelacion soli,2016-02-20 02:47:14,2016-02-20 02:47:14,1
Case4,End,2016-02-20 02:47:14,2016-02-20 02:47:14,End
Case5,Start,2016-02-11 05:37:31,2016-02-11 05:37:31,Start
Case5,Traer informacion estudiante - banner,2016-02-11 05:37:31,2016-02-11 05:37:31,10183
Case5,Radicar Solicitud Homologacion,2016-02-11 05:37:37,2016-02-11 05:37:37,10183
Case5,Cancelar Solicitud,2016-02-11 05:45:56,2016-02-11 05:48:19,1707
Case5,Notificacion estudiante cancelacion soli,2016-02-11 05:52:59,2016-02-11 05:52:59,1707
Case5,End,2016-02-11 05:52:59,2016-02-11 05:52:59,End
Case6,Start,2016-02-11 08:20:42,2016-02-11 08:20:42,Start
Case6,Traer informacion estudiante - banner,2016-02-11 08:20:42,2016-02-11 08:20:42,2133
Case6,Radicar Solicitud Homologacion,2016-02-11 08:20:48,2016-02-11 08:47:58,2133
Case6,Validar solicitud,2016-02-13 09:25:38,2016-02-13 09:27:47,22475
Case6,Homologacion por grupo de cursos,2016-02-14 23:15:31,2016-02-14 23:27:31,22475
Case6,Revisar curso,2016-02-16 00:27:24,2016-02-16 00:27:25,22475
