caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2016-02-02 14:00:48,2016-02-02 14:00:48,Traer informacion estudiante - banner
Case1,Traer informacion estudiante - banner,2016-02-02 14:00:48,2016-02-02 14:00:48,Traer informacion estudiante - banner
Case1,Radicar Solicitud Homologacion,2016-02-02 14:00:49,2016-02-02 14:00:49,Radicar Solicitud Homologacion
Case1,Validar solicitud,2016-02-03 15:55:54,2016-02-03 15:55:58,Validar solicitud
Case1,Homologacion por grupo de cursos,2016-02-03 16:55:50,2016-02-03 17:10:44,Homologacion por grupo de cursos
Case1,End,2016-02-03 17:10:44,2016-02-03 17:10:44,End
Case2,Start,2016-02-03 03:49:53,2016-02-03 03:49:53,Traer informacion estudiante - banner
Case2,Traer informacion estudiante - banner,2016-02-03 03:49:53,2016-02-03 03:49:53,Traer informacion estudiante - banner
Case2,Radicar Solicitud Homologacion,2016-02-03 03:49:54,2016-02-03 03:49:54,Radicar Solicitud Homologacion
Case2,Validar solicitud,2016-03-09 11:35:28,2016-03-09 11:50:07,Validar solicitud
Case2,Homologacion por grupo de cursos,2016-03-18 05:39:18,2016-03-18 12:31:06,Homologacion por grupo de cursos
Case2,End,2016-03-18 12:31:06,2016-03-18 12:31:06,End
Case3,Start,2016-02-11 02:59:17,2016-02-11 02:59:17,Traer informacion estudiante - banner
Case3,Traer informacion estudiante - banner,2016-02-11 02:59:17,2016-02-11 02:59:17,Traer informacion estudiante - banner
Case3,Radicar Solicitud Homologacion,2016-02-11 02:59:18,2016-02-11 02:59:54,Radicar Solicitud Homologacion
Case3,Validar solicitud,2016-02-11 05:39:16,2016-02-11 05:39:22,Validar solicitud
Case3,Homologacion por grupo de cursos,2016-02-25 21:43:27,2016-02-25 21:43:27,Homologacion por grupo de cursos
Case3,End,2016-02-25 21:43:27,2016-02-25 21:43:27,End
Case4,Start,2016-02-11 04:17:05,2016-02-11 04:17:05,Traer informacion estudiante - banner
Case4,Traer informacion estudiante - banner,2016-02-11 04:17:05,2016-02-11 04:17:05,Traer informacion estudiante - banner
Case4,Radicar Solicitud Homologacion,2016-02-11 04:17:11,2016-02-11 04:17:11,Radicar Solicitud Homologacion
Case4,Notificacion estudiante cancelacion soli,2016-02-20 02:47:14,2016-02-20 02:47:14,Notificacion estudiante cancelacion soli
Case4,End,2016-02-20 02:47:14,2016-02-20 02:47:14,End
Case5,Start,2016-02-11 05:37:31,2016-02-11 05:37:31,Traer informacion estudiante - banner
Case5,Traer informacion estudiante - banner,2016-02-11 05:37:31,2016-02-11 05:37:31,Traer informacion estudiante - banner
Case5,Radicar Solicitud Homologacion,2016-02-11 05:37:37,2016-02-11 05:37:37,Radicar Solicitud Homologacion
Case5,Cancelar Solicitud,2016-02-11 05:45:56,2016-02-11 05:48:19,Cancelar Solicitud
Case5,Notificacion estudiante cancelacion soli,2016-02-11 05:52:59,2016-02-11 05:52:59,Notificacion estudiante cancelacion soli
Case5,End,2016-02-11 05:52:59,2016-02-11 05:52:59,End
Case6,Start,2016-02-11 08:20:42,2016-02-11 08:20:42,Traer informacion estudiante - banner
Case6,Traer informacion estudiante - banner,2016-02-11 08:20:42,2016-02-11 08:20:42,Traer informacion estudiante - banner
Case6,Radicar Solicitud Homologacion,2016-02-11 08:20:48,2016-02-11 08:47:58,Radicar Solicitud Homologacion
Case6,Validar solicitud,2016-02-13 09:25:38,2016-02-13 09:27:47,Validar solicitud
Case6,Homologacion por grupo de cursos,2016-02-14 23:15:31,2016-02-14 23:27:31,Homologacion por grupo de cursos
Case6,Revisar curso,2016-02-16 00:27:24,2016-02-16 00:27:25,Revisar curso
Case6,Evaluacion curso,2016-02-16 00:29:01,2016-02-16 03:13:03,Evaluacion curso
Case6,Validar solicitud / pre-homologacion,2016-05-20 23:30:43,2016-05-20 23:36:13,Validar solicitud / pre-homologacion
Case6,End,2016-05-20 23:36:13,2016-05-20 23:36:13,End
Case7,Start,2016-02-11 09:09:03,2016-02-11 09:09:03,Traer informacion estudiante - banner
Case7,Traer informacion estudiante - banner,2016-02-11 09:09:03,2016-02-11 09:09:03,Traer informacion estudiante - banner
Case7,Radicar Solicitud Homologacion,2016-02-11 09:09:09,2016-02-11 09:09:20,Radicar Solicitud Homologacion
Case7,Validar solicitud,2016-02-11 09:27:13,2016-02-11 09:54:36,Validar solicitud
Case7,Homologacion por grupo de cursos,2016-02-11 11:43:36,2016-02-11 12:15:36,Homologacion por grupo de cursos
Case7,End,2016-02-11 12:15:36,2016-02-11 12:15:36,End
Case8,Start,2016-02-11 09:52:53,2016-02-11 09:52:53,Traer informacion estudiante - banner
Case8,Traer informacion estudiante - banner,2016-02-11 09:52:53,2016-02-11 09:52:53,Traer informacion estudiante - banner
Case8,Radicar Solicitud Homologacion,2016-02-11 09:52:58,2016-02-11 09:52:59,Radicar Solicitud Homologacion
Case8,Cancelar Solicitud,2016-02-11 12:54:50,2016-02-11 14:38:03,Cancelar Solicitud
Case8,Validar solicitud,2016-02-11 10:13:23,2016-02-11 10:46:55,Validar solicitud
Case8,Notificacion estudiante cancelacion soli,2016-02-26 08:19:25,2016-02-26 08:19:25,Notificacion estudiante cancelacion soli
Case8,End,2016-02-26 08:19:25,2016-02-26 08:19:25,End
Case9,Start,2016-02-11 14:16:15,2016-02-11 14:16:15,Traer informacion estudiante - banner
Case9,Traer informacion estudiante - banner,2016-02-11 14:16:15,2016-02-11 14:16:15,Traer informacion estudiante - banner
Case9,Radicar Solicitud Homologacion,2016-02-11 14:16:16,2016-02-11 14:16:27,Radicar Solicitud Homologacion
Case9,Validar solicitud,2016-02-11 14:55:27,2016-02-11 14:58:21,Validar solicitud
Case9,Homologacion por grupo de cursos,2016-02-17 19:50:29,2016-02-17 20:45:30,Homologacion por grupo de cursos
Case9,End,2016-02-17 20:45:30,2016-02-17 20:45:30,End
Case10,Start,2016-02-11 16:16:09,2016-02-11 16:16:09,Traer informacion estudiante - banner
Case10,Traer informacion estudiante - banner,2016-02-11 16:16:09,2016-02-11 16:16:09,Traer informacion estudiante - banner
Case10,Radicar Solicitud Homologacion,2016-02-11 16:16:12,2016-02-11 16:16:21,Radicar Solicitud Homologacion
Case10,Validar solicitud,2016-02-11 16:31:52,2016-02-11 17:15:52,Validar solicitud
Case10,Homologacion por grupo de cursos,2016-02-12 08:17:54,2016-02-12 10:53:17,Homologacion por grupo de cursos
Case10,End,2016-02-12 10:53:17,2016-02-12 10:53:17,End
