caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 00:46:35,2011-01-01 00:46:35,Start
Case1,Create Purchase Requisition,2011-01-01 00:46:35,2011-01-01 00:52:35,Kim Passa
Case1,Analyze Purchase Requisition,2011-01-01 15:53:35,2011-01-01 16:01:35,Heinz Gutschmidt
Case1,Create Request for Quotation,2011-01-01 16:04:35,2011-01-01 16:06:35,Heinz Gutschmidt
Case1,Analyze Request for Quotation,2011-01-17 18:44:35,2011-01-17 19:16:35,Magdalena Predutta
Case1,Send Request for Quotation to Supplier,2011-01-18 01:08:35,2011-01-18 01:26:35,Karel de Groot
Case1,Create Quotation comparison Map,2011-01-18 01:57:35,2011-01-18 03:19:35,Karel de Groot
Case1,Analyze Quotation Comparison Map,2011-01-18 09:57:35,2011-01-18 10:08:35,Kim Passa
Case1,Choose best option,2011-01-18 10:08:35,2011-01-18 10:08:35,Tesca Lobes
Case1,Settle Conditions With Supplier,2011-01-18 20:08:35,2011-01-19 02:42:35,Karel de Groot
Case1,Create Purchase Order,2011-01-20 06:33:35,2011-01-20 06:43:35,Karel de Groot
Case1,Confirm Purchase Order,2011-01-21 05:13:35,2011-01-21 05:35:35,Sean Manney
Case1,Deliver Goods Services,2011-01-21 12:07:35,2011-01-22 00:44:35,Kiu Kan
Case1,Release Purchase Order,2011-01-22 08:03:35,2011-01-22 08:04:35,Anna Kaufmann
Case1,Approve Purchase Order for payment,2011-01-22 14:20:35,2011-01-22 14:21:35,Karel de Groot
Case1,Send Invoice,2011-01-23 01:14:35,2011-01-23 01:14:35,Karen Clarens
Case1,Release Supplier's Invoice,2011-01-23 15:36:35,2011-01-23 15:39:35,Karalda Nimwada
Case1,Authorize Supplier's Invoice payment,2011-01-23 15:39:35,2011-01-23 15:39:35,Pedro Alvares
Case1,Pay Invoice,2011-01-23 15:47:35,2011-01-23 15:54:35,Pedro Alvares
Case1,End,2011-01-23 15:54:35,2011-01-23 15:54:35,End
Case2,Start,2011-01-01 02:38:47,2011-01-01 02:38:47,Start
Case2,Create Purchase Requisition,2011-01-01 02:38:47,2011-01-01 03:32:47,Fjodor Kowalski
Case2,Analyze Purchase Requisition,2011-01-01 13:51:47,2011-01-01 13:55:47,Maris Freeman
Case2,Create Request for Quotation,2011-01-01 14:00:47,2011-01-01 14:01:47,Miu Hanwan
Case2,Analyze Request for Quotation,2011-01-03 01:05:47,2011-01-03 01:27:47,Magdalena Predutta
Case2,Amend Request for Quotation,2011-01-03 02:19:47,2011-01-03 02:31:47,Alberto Duport
Case2,Analyze Request for Quotation,2011-01-04 22:13:47,2011-01-04 22:38:47,Francois de Perrier
Case2,Amend Request for Quotation,2011-01-04 23:31:47,2011-01-04 23:44:47,Fjodor Kowalski
Case2,Analyze Request for Quotation,2011-01-12 08:38:47,2011-01-12 08:57:47,Francois de Perrier
Case2,Amend Request for Quotation,2011-01-12 09:49:47,2011-01-12 09:55:47,Fjodor Kowalski
Case2,Analyze Request for Quotation,2011-01-12 13:15:47,2011-01-12 13:49:47,Magdalena Predutta
Case2,Amend Request for Quotation,2011-01-13 05:48:47,2011-01-13 05:57:47,Esmana Liubiata
Case2,Analyze Request for Quotation,2011-03-07 17:10:47,2011-03-07 17:43:47,Francois de Perrier
Case2,Send Request for Quotation to Supplier,2011-03-07 22:54:47,2011-03-07 23:19:47,Magdalena Predutta
Case2,Create Quotation comparison Map,2011-03-08 03:29:47,2011-03-08 04:40:47,Magdalena Predutta
Case2,Analyze Quotation Comparison Map,2011-03-08 10:44:47,2011-03-08 10:53:47,Immanuel Karagianni
Case2,Choose best option,2011-03-08 10:53:47,2011-03-08 10:53:47,Tesca Lobes
Case2,Settle Conditions With Supplier,2011-03-08 13:07:47,2011-03-08 18:47:47,Francois de Perrier
Case2,Create Purchase Order,2011-03-09 02:53:47,2011-03-09 03:03:47,Francois de Perrier
Case2,Confirm Purchase Order,2011-03-09 12:27:47,2011-03-09 12:48:47,Kiu Kan
Case2,Deliver Goods Services,2011-03-10 11:32:47,2011-03-10 17:47:47,Esmeralda Clay
Case2,Release Purchase Order,2011-03-11 01:04:47,2011-03-11 01:05:47,Penn Osterwalder
Case2,Approve Purchase Order for payment,2011-03-11 07:49:47,2011-03-11 07:50:47,Francois de Perrier
Case2,Send Invoice,2011-03-11 15:26:47,2011-03-11 15:26:47,Kiu Kan
Case2,Release Supplier's Invoice,2011-03-12 05:41:47,2011-03-12 05:46:47,Karalda Nimwada
Case2,Settle Dispute With Supplier,2011-03-12 06:35:47,2011-03-12 07:09:47,Magdalena Predutta
Case2,Authorize Supplier's Invoice payment,2011-03-12 07:09:47,2011-03-12 07:09:47,Karalda Nimwada
Case2,Pay Invoice,2011-03-12 08:03:47,2011-03-12 08:17:47,Karalda Nimwada
Case2,End,2011-03-12 08:17:47,2011-03-12 08:17:47,End
Case3,Start,2011-01-01 03:50:11,2011-01-01 03:50:11,Start
Case3,Create Purchase Requisition,2011-01-01 03:50:11,2011-01-01 04:36:11,Tesca Lobes
Case3,Analyze Purchase Requisition,2011-01-01 15:04:11,2011-01-01 15:09:11,Maris Freeman
Case3,Create Request for Quotation,2011-01-01 15:16:11,2011-01-01 15:19:11,Esmana Liubiata
Case3,Analyze Request for Quotation,2011-01-05 07:18:11,2011-01-05 07:41:11,Magdalena Predutta
Case3,Amend Request for Quotation,2011-01-05 08:27:11,2011-01-05 08:36:11,Tesca Lobes
Case3,Analyze Request for Quotation,2011-01-08 02:34:11,2011-01-08 02:54:11,Magdalena Predutta
Case3,Send Request for Quotation to Supplier,2011-01-08 22:27:11,2011-01-08 22:55:11,Magdalena Predutta
Case3,Create Quotation comparison Map,2011-01-09 17:16:11,2011-01-09 20:49:11,Magdalena Predutta
Case3,Analyze Quotation Comparison Map,2011-01-10 03:42:11,2011-01-10 04:13:11,Penn Osterwalder
