caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-01-01 00:57:52,2011-01-01 00:57:52,Start
Case1,Create Purchase Requisition,2011-01-01 00:57:52,2011-01-01 01:47:52,Miu Hanwan
Case1,Create Request for Quotation,2011-01-01 04:59:52,2011-01-01 05:08:52,Anna Kaufmann
Case1,Analyze Request for Quotation,2011-01-03 12:14:52,2011-01-03 12:50:52,Karel de Groot
Case1,Send Request for Quotation to Supplier,2011-01-04 05:31:52,2011-01-04 05:59:51,Magdalena Predutta
Case1,Create Quotation comparison Map,2011-01-04 06:22:51,2011-01-04 11:10:51,Magdalena Predutta
Case1,Analyze Quotation Comparison Map,2011-01-04 17:48:51,2011-01-04 17:59:51,Kim Passa
Case1,Choose best option,2011-01-04 17:59:51,2011-01-04 17:59:51,Anna Kaufmann
Case1,Settle Conditions With Supplier,2011-01-04 21:00:51,2011-01-05 01:41:51,Magdalena Predutta
Case1,Create Purchase Order,2011-01-05 14:10:51,2011-01-05 14:17:51,Magdalena Predutta
Case1,Confirm Purchase Order,2011-01-08 18:52:51,2011-01-08 19:07:51,Kiu Kan
Case1,Deliver Goods Services,2011-01-23 19:52:51,2011-01-24 02:07:51,Sean Manney
Case1,Release Purchase Order,2011-01-24 09:26:51,2011-01-24 09:27:51,Penn Osterwalder
Case1,Approve Purchase Order for payment,2011-01-25 01:41:51,2011-01-25 01:42:51,Karel de Groot
Case1,Send Invoice,2011-01-26 16:54:51,2011-01-26 16:54:51,Sean Manney
Case1,Release Supplier's Invoice,2011-01-27 07:03:51,2011-01-27 07:08:51,Pedro Alvares
Case1,Authorize Supplier's Invoice payment,2011-01-27 07:08:51,2011-01-27 07:08:51,Pedro Alvares
Case1,Pay Invoice,2011-01-27 08:00:51,2011-01-27 08:13:51,Pedro Alvares
Case1,End,2011-01-27 08:13:51,2011-01-27 08:13:51,End
Case2,Start,2011-01-01 11:17:36,2011-01-01 11:17:36,Start
Case2,Create Purchase Requisition,2011-01-01 11:17:36,2011-01-01 11:34:36,Clement Duchot
Case2,Analyze Purchase Requisition,2011-01-02 00:29:36,2011-01-02 00:36:36,Heinz Gutschmidt
Case2,Create Request for Quotation,2011-01-02 00:41:36,2011-01-02 00:43:36,Heinz Gutschmidt
Case2,Analyze Request for Quotation,2011-01-02 06:29:36,2011-01-02 06:39:36,Karel de Groot
Case2,Send Request for Quotation to Supplier,2011-01-02 19:46:36,2011-01-02 19:58:36,Francois de Perrier
Case2,Create Quotation comparison Map,2011-01-03 08:25:36,2011-01-03 10:59:36,Francois de Perrier
