caseid,task,start_timestamp,end_timestamp,resource
Case1,Start,2011-06-06 00:28:43,2011-06-06 00:28:43,Start
Case1,Create Purchase Requisition,2011-06-06 00:28:43.000001,2011-06-06 00:52:43.000001,Anna Kaufmann
Case1,Analyze Purchase Requisition,2011-06-06 20:14:43.000001,2011-06-06 20:18:43.000001,Maris Freeman
Case1,End,2011-06-06 20:18:43.000002,2011-06-06 20:18:43.000002,End
Case2,Start,2011-06-06 01:11:19,2011-06-06 01:11:19,Start
Case2,Create Purchase Requisition,2011-06-06 01:11:19.000001,2011-06-06 01:20:19.000001,Christian Francois
Case2,Analyze Purchase Requisition,2011-06-07 00:58:19.000001,2011-06-07 01:07:19.000001,Francis Odell
Case2,Create Request for Quotation,2011-06-07 01:11:19.000001,2011-06-07 01:14:19.000001,Esmana Liubiata
Case2,Analyze Request for Quotation,2011-06-07 02:08:19.000001,2011-06-07 02:22:19.000001,Francois de Perrier
Case2,Send Request for Quotation to Supplier,2011-06-09 01:14:19.000001,2011-06-09 01:37:19.000001,Francois de Perrier
Case2,Create Quotation comparison Map,2011-06-09 02:03:19.000001,2011-06-09 03:19:19.000001,Francois de Perrier
Case2,Analyze Quotation Comparison Map,2011-06-09 09:59:19.000001,2011-06-09 10:13:19.000001,Christian Francois
Case2,Choose best option,2011-06-09 10:13:19.000001,2011-06-09 10:13:19.000001,Nico Ojenbeer
Case2,Settle Conditions With Supplier,2011-06-09 13:04:19.000001,2011-06-09 17:33:19.000001,Magdalena Predutta
Case2,Create Purchase Order,2011-06-09 22:46:19.000001,2011-06-09 22:53:19.000001,Magdalena Predutta
Case2,Confirm Purchase Order,2011-06-10 07:25:19.000001,2011-06-10 07:53:19.000001,Carmen Finacse
Case2,Deliver Goods Services,2011-06-13 00:19:19.000001,2011-06-14 20:15:19.000001,Esmeralda Clay
Case2,Release Purchase Order,2011-06-15 03:26:19.000001,2011-06-15 03:27:19.000001,Anne Olwada
Case2,Approve Purchase Order for payment,2011-06-15 14:05:19.000001,2011-06-15 14:06:19.000001,Magdalena Predutta
Case2,Send Invoice,2011-06-17 02:42:19.000001,2011-06-17 02:42:19.000001,Carmen Finacse
Case2,Release Supplier's Invoice,2011-06-17 17:11:19.000001,2011-06-17 17:17:19.000001,Karalda Nimwada
Case2,Authorize Supplier's Invoice payment,2011-06-17 17:17:19.000001,2011-06-17 17:17:19.000001,Pedro Alvares
Case2,Pay Invoice,2011-06-17 17:44:19.000001,2011-06-17 17:49:19.000001,Karalda Nimwada
Case2,End,2011-06-17 17:49:19.000002,2011-06-17 17:49:19.000002,End
Case3,Start,2011-06-06 04:01:20,2011-06-06 04:01:20,Start
Case3,Create Purchase Requisition,2011-06-06 04:01:20.000001,2011-06-06 04:32:20.000001,Kim Passa
Case3,Create Request for Quotation,2011-06-06 07:15:20.000001,2011-06-06 07:22:20.000001,Francis Odell
Case3,Analyze Request for Quotation,2011-06-07 16:25:20.000001,2011-06-07 16:45:21.000001,Magdalena Predutta
Case3,Send Request for Quotation to Supplier,2011-06-09 04:03:21.000001,2011-06-09 04:27:21.000001,Karel de Groot
Case3,Create Quotation comparison Map,2011-06-09 13:51:21.000001,2011-06-09 17:25:21.000001,Magdalena Predutta
Case3,Analyze Quotation Comparison Map,2011-06-09 23:56:21.000001,2011-06-10 00:28:21.000001,Alberto Duport
Case3,Choose best option,2011-06-10 00:28:21.000001,2011-06-10 00:28:21.000001,Nico Ojenbeer
Case3,Settle Conditions With Supplier,2011-06-10 03:27:21.000001,2011-06-10 17:16:21.000001,Karel de Groot
Case3,Create Purchase Order,2011-06-11 10:16:21.000001,2011-06-11 10:27:21.000001,Karel de Groot
